par1,par2,par3,par4,par5,par6,par7,par8,par9,weather
91,5,211856.0,84,0,29221.0,76,1,7520.0,1
91,5,212169.0,84,0,29536.0,76,1,7602.0,1
91,5,211477.0,84,0,29608.0,76,1,7617.0,1
91,5,212102.0,84,0,29520.0,76,1,7591.0,1
91,5,211456.0,84,0,29620.0,76,1,7602.0,1
91,5,212160.0,84,0,29522.0,76,1,7566.0,1
91,5,211475.0,84,0,29621.0,76,1,7615.0,1
91,5,212217.0,84,0,29580.0,76,1,7586.0,1
91,5,211453.0,84,0,29627.0,76,1,7618.0,1
91,5,212095.0,84,0,29582.0,76,1,7569.0,1
91,5,211369.0,84,0,29619.0,76,1,7601.0,1
91,5,212011.0,84,0,29528.0,76,1,7548.0,1
91,5,211313.0,84,0,29582.0,76,1,7601.0,1
91,5,212028.0,84,0,29540.0,76,1,7546.0,1
91,5,211354.0,84,0,29610.0,76,1,7561.0,1
91,5,212005.0,84,0,29550.0,76,1,7547.0,1
91,5,211394.0,84,0,29673.0,76,1,7584.0,1
91,5,212784.0,83,0,29675.0,76,1,7635.0,1
91,5,212001.0,84,0,29917.0,76,1,7274.0,1
90,5,210583.0,84,0,29277.0,74,1,6897.0,1
89,5,210623.0,86,0,31638.0,74,1,7158.0,1
91,5,210168.0,84,0,29201.0,76,1,7465.0,1
91,5,209488.0,84,0,29123.0,76,1,7460.0,1
91,5,209856.0,84,0,29251.0,76,1,7567.0,1
91,5,209287.0,84,0,29428.0,75,1,7341.0,1
91,5,210042.0,84,0,29466.0,76,1,7707.0,1
91,5,209813.0,84,0,29318.0,76,1,7577.0,1
91,5,210696.0,85,0,29582.0,75,1,6815.0,1
91,5,208019.0,91,0,29869.0,74,1,7402.0,1
91,5,210079.0,75,0,27257.0,80,1,9919.0,1
92,6,183850.0,71,0,22955.0,82,1,23332.0,1
92,6,171762.0,37,0,8307.0,97,4,10368.0,1
93,6,168638.0,35,0,7661.0,96,4,7428.0,1
93,6,174876.0,34,0,7742.0,95,4,11415.0,1
97,6,184540.0,33,0,9181.0,109,4,22307.0,1
96,5,209543.0,40,0,9994.0,111,4,10785.0,1
97,5,213555.0,39,0,11079.0,113,4,10689.0,1
100,5,212299.0,39,0,14419.0,113,4,12971.0,1
99,6,210123.0,37,0,9270.0,115,4,17734.0,1
99,5,218101.0,36,0,9294.0,118,4,19959.0,1
98,5,217900.0,35,0,8745.0,117,4,11516.0,1
98,6,204320.0,35,0,6489.0,114,3,13343.0,1
98,6,200865.0,34,0,6284.0,115,3,16993.0,1
98,6,199453.0,35,0,6183.0,116,3,19010.0,1
98,6,199221.0,34,0,6329.0,116,4,19199.0,1
98,6,200532.0,35,0,6359.0,116,4,19521.0,1
98,6,200514.0,34,0,6415.0,116,4,19483.0,1
98,6,200508.0,34,0,6326.0,116,4,19580.0,1
98,6,200619.0,34,0,6332.0,116,4,19527.0,1
98,6,200728.0,34,0,6287.0,116,4,19558.0,1
98,6,200683.0,34,0,6336.0,116,4,19531.0,1
98,6,200661.0,34,0,6309.0,116,4,19559.0,1
98,6,200672.0,34,0,6303.0,116,4,19523.0,1
98,6,200741.0,34,0,6304.0,116,4,19485.0,1
98,6,200743.0,34,0,6328.0,116,4,19463.0,1
98,6,200725.0,34,0,6300.0,116,4,19511.0,1
98,6,200728.0,34,0,6309.0,116,4,19508.0,1
98,6,200342.0,34,0,6262.0,116,4,19593.0,1
98,6,200383.0,35,0,6340.0,116,4,19432.0,1
98,6,200027.0,35,0,6302.0,116,4,19405.0,1
98,6,200191.0,35,0,6376.0,116,4,19349.0,1
98,6,199972.0,35,0,6176.0,116,4,19497.0,1
98,6,200231.0,35,0,6272.0,116,4,19501.0,1
98,6,200349.0,35,0,6262.0,116,4,19703.0,1
98,6,200731.0,34,0,6429.0,116,4,19511.0,1
98,6,200727.0,35,0,6323.0,116,4,19549.0,1
98,6,200667.0,34,0,6366.0,116,4,19513.0,1
98,6,200633.0,35,0,6274.0,116,4,19543.0,1
98,6,200672.0,34,0,6344.0,116,4,19501.0,1
98,6,200622.0,34,0,6277.0,116,4,19560.0,1
98,6,200666.0,34,0,6382.0,116,4,19519.0,1
98,6,206810.0,34,0,6907.0,118,4,21423.0,1
97,6,199443.0,35,0,8614.0,115,4,22706.0,1
98,6,198852.0,31,0,6434.0,115,4,15574.0,1
